Skip to feedback
Index of /data/realtime2/
[ICO]	Name	Last modified	Size	Description
[PARENTDIR]	Parent Directory	 	-	 
[TXT]	32ST0.ocean	2025-06-10 20:10	86K	Oceanographic Data
[TXT]	32ST0.srad	2025-06-10 20:10	40K	Solar Radiation Data
[TXT]	32ST0.txt	2025-06-10 20:10	99K	Standard Meteorological Data
[TXT]	51WH0.ocean	2025-06-10 20:00	86K	Oceanographic Data
[TXT]	51WH0.srad	2025-06-10 20:00	40K	Solar Radiation Data
[TXT]	51WH0.txt	2025-06-10 20:00	100K	Standard Meteorological Data
[TXT]	13001.txt	2025-06-10 19:25	97K	Standard Meteorological Data
[TXT]	13002.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	13008.txt	2025-06-10 19:25	100K	Standard Meteorological Data
[TXT]	14048.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	14049.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	15001.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	15002.txt	2025-06-10 20:15	50K	Standard Meteorological Data
[TXT]	15006.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	15009.txt	2025-06-10 20:25	44K	Standard Meteorological Data
[TXT]	21414.dart	2025-06-10 18:25	127K	Water Column Height (DART) Data
[TXT]	21415.dart	2025-06-10 18:25	131K	Water Column Height (DART) Data
[TXT]	21416.dart	2025-06-10 18:20	140K	Water Column Height (DART) Data
[TXT]	21418.dart	2025-06-10 18:20	112K	Water Column Height (DART) Data
[TXT]	21419.dart	2025-06-10 18:25	130K	Water Column Height (DART) Data
[TXT]	22101.drift	2025-06-10 19:25	85K	Standard Meteorological Data for Drifting Buoys
[TXT]	22102.drift	2025-06-10 19:25	94K	Standard Meteorological Data for Drifting Buoys
[TXT]	22103.drift	2025-06-10 20:25	92K	Standard Meteorological Data for Drifting Buoys
[TXT]	22104.drift	2025-06-10 20:25	94K	Standard Meteorological Data for Drifting Buoys
[TXT]	22105.drift	2025-06-10 20:25	92K	Standard Meteorological Data for Drifting Buoys
[TXT]	22106.drift	2025-06-10 20:25	93K	Standard Meteorological Data for Drifting Buoys
[TXT]	22107.drift	2025-05-31 23:25	54K	Standard Meteorological Data for Drifting Buoys
[TXT]	22108.drift	2025-06-10 20:25	93K	Standard Meteorological Data for Drifting Buoys
[TXT]	23001.txt	2025-06-10 20:15	43K	Standard Meteorological Data
[TXT]	23003.txt	2025-06-10 20:15	44K	Standard Meteorological Data
[TXT]	23007.txt	2025-06-10 18:30	44K	Standard Meteorological Data
[TXT]	23008.txt	2025-06-10 19:25	100K	Standard Meteorological Data
[TXT]	23009.txt	2025-06-10 18:35	44K	Standard Meteorological Data
[TXT]	23010.txt	2025-06-10 19:25	100K	Standard Meteorological Data
[TXT]	23012.txt	2025-06-10 20:15	46K	Standard Meteorological Data
[TXT]	23013.txt	2025-05-06 06:20	36K	Standard Meteorological Data
[TXT]	23014.txt	2025-06-10 20:15	48K	Standard Meteorological Data
[TXT]	23016.txt	2025-06-10 20:15	48K	Standard Meteorological Data
[TXT]	23019.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	23218.dart	2025-06-10 20:25	121K	Water Column Height (DART) Data
[TXT]	23220.dart	2025-06-04 16:25	186	Water Column Height (DART) Data
[TXT]	23223.dart	2025-06-10 20:25	120K	Water Column Height (DART) Data
[TXT]	23226.dart	2025-06-10 20:25	121K	Water Column Height (DART) Data
[TXT]	23228.dart	2025-06-10 18:50	129K	Water Column Height (DART) Data
[TXT]	23401.dart	2025-06-10 18:40	133K	Water Column Height (DART) Data
[TXT]	23461.dart	2025-06-10 18:40	133K	Water Column Height (DART) Data
[TXT]	31003.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	31004.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	31006.txt	2025-06-10 19:25	101K	Standard Meteorological Data
[TXT]	32401.dart	2025-05-04 00:40	130K	Water Column Height (DART) Data
